spec_id,beta,se,u95,l95,u90,l90,tstat,pval,pfas,lod,loq,chemical_name,measured,LOD,LOQ,not_measured
1,0.10924804837609199,0.039837166823589225,0.19085078540642075,0.027645311345763243,0.1770162851932121,0.04147981155897189,2.742364909128069,0.010512692398728977,pfbs,0.078 ng/mL,5.000 ng/mL,PFBS, 784,     0,     0,0
2,0.10763888038783426,0.03946540372102082,0.18848009522380593,0.02679766555186258,0.1747746994909566,0.04050306128471194,2.72742377472504,0.010894247126684423,pfna,0.016 ng/mL,0.100 ng/mL,PFNA, 784,     0,     0,0
3,0.06301583412478552,0.08501548786313601,0.23716216662684025,-0.1111304983772692,0.20763831042047604,-0.08160664217090498,0.7412276951963495,0.4647271112350915,pfoa,0.009 ng/mL,0.100 ng/mL,PFOA, 784,     0,     0,0
4,0.0969904333145094,0.058848970704774885,0.2175370851934694,-0.023556218564450587,0.19710023783011155,-0.0031193712010927216,1.648124549213905,0.11050484489946517,pfos,0.027 ng/mL,0.100 ng/mL,PFOS, 783,     0,     1,1
5,0.03266383872709893,0.02723200793069292,0.08844607825775505,-0.02311840080355719,0.07898904982017582,-0.013661372365977968,1.1994649388407326,0.24039913871374752,pfhxs,0.024 ng/mL,0.100 ng/mL,PFHxS, 777,     1,     6,7
6,0.16372666998373406,0.04503637723373217,0.2559795067498958,0.07147383321757232,0.2403394444633058,0.08711389550416233,3.6354316230636567,0.0011064876484400093,pfba,0.410 ng/mL,0.500 ng/mL,PFBA, 773,    11,     0,11
7,0.0188510495064199,0.024423636232728082,0.0688806003941492,-0.031178501381309405,0.06039885262917188,-0.022696753616332076,0.7718363198170786,0.4466770941795071,pfunda,0.011 ng/mL,0.100 ng/mL,PFUnDA, 754,     2,    28,30
8,0.06157145139916879,0.05672083629090882,0.17775881754606532,-0.054615914747727735,0.15806102063106744,-0.03491811783272988,1.0855173411651093,0.28695043549895183,pfda,0.010 ng/mL,0.100 ng/mL,PFDA, 750,     0,    34,34
