spec_id,beta,se,u95,l95,u90,l90,tstat,pval,pfas,full_analyte_name,measured,LOD,lod,analyte_code
1,0.037640663195880414,0.028735128383417394,0.09670656551117725,-0.02142523911941642,0.08665181309322041,-0.011370486701459584,1.3099180450365508,0.20167990863474902,pfhxs,Perfluorohexane-1-sulphonic acid,384,    0,0.1 ng/ml,PFHxS
2,0.10043770641363707,0.03626023417490219,0.17497168521223289,0.025903727615041255,0.16228381159701782,0.03859160123025632,2.7699133416837065,0.010209895514552968,pfos_linear,Perfluorooctanesulfonic acid,384,    0,0.2 ng/ml,PFOS-Linear
3,0.060809321745394364,0.04805362123934928,0.15958495483627122,-0.037966311345482485,0.14277043924055327,-0.02115179574976455,1.265447227015639,0.21693444587346736,pfos_branched,Perfluorooctanesulfonic acid,383,    1,0.2 ng/ml,PFOS-Branched
4,0.028033506034260563,0.03811158799869068,0.10637299711899767,-0.05030598505047654,0.09303731347530982,-0.03697030140678868,0.7355638404577539,0.4685803020927749,pfoa_linear,Perfluorooctanoic acid,374,   10,0.5 ng/ml,PFOA-Linear
5,0.11226471106174644,0.04834855552540174,0.21164659026006924,0.01288283186342365,0.19472887376034784,0.029800548363145052,2.321986868930633,0.028332240963266433,pfna,Perfluorononanoic acid,233,  151,0.5 ng/ml,PFNA
6,0.09699323033870533,0.040614725593610616,0.18047799443877408,0.01350846623863658,0.16626643411727315,0.0277200265601375,2.3881296480792673,0.024487547106452685,pfhps,Perfluoroheptanesulfonic acid,186,  198,0.2 ng/ml,PFHpS
7,0.031146230408670157,0.02185960154166403,0.0760792848945637,-0.013786824077223377,0.06843035851692975,-0.006137897699589431,1.4248306561904147,0.16610014248011237,pfda,Perfluorodecanoic acid,159,  225,0.5 ng/ml,PFDA
8,0.12379551784566395,0.039025299899688067,0.2040131706413395,0.04357786504998838,0.19035776867855164,0.05723326701277624,3.172186201358403,0.003859542024935104,pfhpa,Perluoroheptanoic acid,130,  254,0.2 ng/ml,PFHpA
